posting_id,image,image_phash,title,label_group
train_3994562790,8c79f5e57737e712428b009f3b811b29.jpg,f5c972349712386d,Creamer Nabati (Non Dairy Creamer) Premium & Reguler 1 Kg,3829989058
train_2721383565,5dc0a645807ec85ba540e39ee7a1db04.jpg,b939c692c34e9867,Chek Hup 3 in 1 Ipoh White Coffee King 40gr x 15,2723899357
train_161578771,e4647b784f847e807173e9329c748636.jpg,bbb84c822c86e767,( 27AN.ID) COD Kacamata Hitam KM50 Gaya Steampunk Vintage Bentuk Kotak Gaya Harajuku,2217561812
train_481272730,9bf9a36b8a4f81ee1f4a0b463799e5b3.jpg,8af3f7809c5b0ce1,Sapu Mini + Cikrak Sebaguna (Paket Hemat),424835120
train_2554398684,5c138e8fccfc7bc6d6e364bd31eb6657.jpg,9b7ae0c595b38307,SARUNG TANGAN IGLOVE TOUCH SCREEN HP ANDROID GOJEK GRAB,66247839
train_20460418,6419da5ac6f057124626b8260b54a0f0.jpg,b772c88dd1d62a2a,[ 1 ROLL ] Double Tape Joyko 6mm x 15 Yard,309172360
train_2061939768,4f7fac9f8aa6d9fa3616f8dfb1e4834a.jpg,984eb9c746bb3c30,Sambungan Kran Air Harmonika spray sprinkel jet penghemat air - filter water wastafel,1385441259
train_1002311244,f949347b7440d3fc716433e61d529709.jpg,ee1d91e191362e5a,Bluetooth reciver reciver bluetoth transmiter bluetooth,4152958882
train_671501743,795c6f8f85e6d8e5894c74f926be37f0.jpg,ed86c238966d388f,BATTERY BATERAI XIAOMI BM22/ BM34/ BM36/ BM37/ BM38/ BM39/ BM48/ BM4A ORIGINAL 99,3637220226
train_3395748191,6692b90ed7f593e982e6f9dd3d1f5700.jpg,b24ccf30cf30b3cc,PROMO 11.11 Bajakah Kalimantan Asli - Garansi Uang Kembali - Obat Herbal,3497969901
train_1108589250,c6f0348df531aac39e4a5656d94c44ee.jpg,fc87833c87c27887,Silkoro Color Care Serum Vitamin Rambut - 80ml,2377831355
train_3880734745,239bc5e698b149134b681cf0a980f766.jpg,fecce95e48b39022,"Pumpup\xe2\x98\xaa GUJHUI HOT Puff SPONGE 1Pc Spon Puff Bentuk Telur untuk Foundation, Warna Orange Sponge",4141124289
train_1519166571,eea843a9317b1ba17e1e3d10afa13b27.jpg,d3d0ced2e6d0c6c1,Zwitsal Baby Fabric Detergent 425 ml,3728367895
train_1144177936,685c22d9f3a1e057db69914f6980809b.jpg,f8c923fe78b8a08c,Kain Satin Roberto Cavalli/Roberto Cavali 100% pure silk kain satin sale!! 14.000,1706249589
train_2376864631,c99e19b4b6aa7b4811fcaeed97a12d52.jpg,d113cd79620467f6,Jam Tangan Casio SPORT S-SHOCK S-179,3947628716
train_1748945290,99ca05d17259eb31ffc2454d4b6f9de1.jpg,cef341f68800b75d,[Bayar Ditempat] . FARASYA ORI SOLO SELMA MAXY /GAMIS SATIN MIX TILE / GAMIS BRUKAT /GAMIS SYARI,1662373776
train_397195104,d8edd638681a303e178c999ccd113657.jpg,fdb1859d0f6a18e0,\xe2\x98\x85 Cayman \xe2\x98\x85 Aksesoris Jam Kotak Box Watch Kotak Hadiah Penyimpanan HL008,1597685049
train_2289456337,242c1924a998df253c411c7bc1724143.jpg,cc9b8e03b39b702e,Bestseller Rantai Sepeda Bahan Baja Galvanized untuk Shimano Deore LX 105,2864073974
train_1132864737,9720558f60f0f26b037dc054e824b8fc.jpg,eab58b6a954b9489,[COD]Celana Hipster Casual Bahan Katun dengan Renda,1445188681
train_3299507449,12b580e7349cb90eddc30a0aeed61341.jpg,f0c69c33cb744693,"PENGGILING daging sayur buah, meat grinder pengiling gilingan muicer Huamei mincer",2087175377
train_3587163494,fa5eecc91325e81a2c174b523fd181be.jpg,e192ce6593439ec6,Naturein All Purpose Sanitizing Water 100ml,436095484
train_2268725397,dbecc71dea33304c4092cb3b05ccae4f.jpg,ea62952d919d9c95,bubblewrap 10 meter x 30 cm bubble wrap plastik bubble tebal premium,889644727
train_920284861,1ce123ca36807cd167c3d537bcad74e5.jpg,90d7f724cc58f306,Microfiber Cloth Kain Lap Microfiber 40 x 40 cm HALUS,4200573692
train_2089141941,fb2d94637e92997c0708adf9bf99377f.jpg,8652be29ca2dcfc1,ONE-C8 Bendo Fashion Wanita Headband / Bando Kepala Bangstan Boys,1060961612
train_2998702168,d551f25391eb5bc84cefa2bf2d5a2a90.jpg,fe7e81a5834343c3,GARNIER MICELLAR CLEANSING WATER / MICELLAR OIL INFUSED CLEANSING WATER,1226243819
train_2638290284,bcdd8c9453e041a5cefbb156b7034631.jpg,e6c9ca8491b6b29b,Viva Air Mawar 100% Original,3813608589
train_2735094382,f01d17670f214103d61436c62d12eed0.jpg,e5c21c65b231cd5e,[BPOM] SKIN1004 Madagascar Centella Asiatica 100 Ampoule 100ml /55ml,3351860123
train_684221517,2e74d8896c45af32ac6d8b83ec24ac14.jpg,eb26974b34664e94,Tas selempang wanita STEVANI KUNCI | sling bag Wanita | Tas Murah,3900306665
train_2244662893,fd68da190e8739150321d72eeab52c0d.jpg,f86d8171759c3519,LAMPU HURUF A-Z DAN ANGKA 0-9 \xe2\x9d\xa4\xef\xb8\x8f  16 cm A-Z 0-9,763032672
train_2476542077,15ca614ad7429f0ae25ddc29476e7b62.jpg,ed94924b95654bb4,Bucket Hat Kanvas Polos FANTA I Bucket Hat Kpop I Bucket Hat,821474700
train_4022844955,ccfaed628660a3d47eb123c726c6b454.jpg,c6f361003aed3c9d,[PAKET HEMAT] DAVIENA WHITEGLOW SERIES,2729238489
train_3811737904,f384dcc620a16aa71a677623ac0712ce.jpg,bcc393623ce1633c,VIVA Queen Bust Cream Krim kecantikan Payudara 40g Halal,3476168339
